"Subject","Session","Set","Rep","PV"
1,"CLU_1",1,"Rep1",0
2,"CLU_1",1,"Rep1",0
3,"CLU_1",1,"Rep1",0
4,"CLU_1",1,"Rep1",0
5,"CLU_1",1,"Rep1",0
6,"CLU_1",1,"Rep1",0
7,"CLU_1",1,"Rep1",0
8,"CLU_1",1,"Rep1",0
9,"CLU_1",1,"Rep1",0
10,"CLU_1",1,"Rep1",0
11,"CLU_1",1,"Rep1",0
12,"CLU_1",1,"Rep1",0
13,"CLU_1",1,"Rep1",0
14,"CLU_1",1,"Rep1",0
15,"CLU_1",1,"Rep1",0
16,"CLU_1",1,"Rep1",0
17,"CLU_1",1,"Rep1",0
18,"CLU_1",1,"Rep1",0
19,"CLU_1",1,"Rep1",0
20,"CLU_1",1,"Rep1",0
1,"CLU_1",1,"Rep2",-3.082859353
2,"CLU_1",1,"Rep2",-4.570134252
3,"CLU_1",1,"Rep2",-2.505661755
4,"CLU_1",1,"Rep2",2.900838143
5,"CLU_1",1,"Rep2",-0.176421211
6,"CLU_1",1,"Rep2",-1.725551208
7,"CLU_1",1,"Rep2",-6.888026469
8,"CLU_1",1,"Rep2",-2.02784885
9,"CLU_1",1,"Rep2",0.093830952
10,"CLU_1",1,"Rep2",-1.5693500440000001
11,"CLU_1",1,"Rep2",-4.482032867
12,"CLU_1",1,"Rep2",-1.723445829
13,"CLU_1",1,"Rep2",-3.318122262
14,"CLU_1",1,"Rep2",8.181851107
15,"CLU_1",1,"Rep2",3.907015449
16,"CLU_1",1,"Rep2",3.971959269
17,"CLU_1",1,"Rep2",-2.501999789
18,"CLU_1",1,"Rep2",2.499470263
19,"CLU_1",1,"Rep2",-0.482929808
20,"CLU_1",1,"Rep2",-2.760209995
1,"CLU_1",1,"Rep3",1.782465765
2,"CLU_1",1,"Rep3",-5.325908973
3,"CLU_1",1,"Rep3",-3.354097856
4,"CLU_1",1,"Rep3",1.900704199
5,"CLU_1",1,"Rep3",1.508515525
6,"CLU_1",1,"Rep3",-5.679121746
7,"CLU_1",1,"Rep3",-3.33455173
8,"CLU_1",1,"Rep3",0.557743092
9,"CLU_1",1,"Rep3",0.118165489
10,"CLU_1",1,"Rep3",-1.860284283
11,"CLU_1",1,"Rep3",-1.126505573
12,"CLU_1",1,"Rep3",-1.443003757
13,"CLU_1",1,"Rep3",-2.299876401
14,"CLU_1",1,"Rep3",2.247786329
15,"CLU_1",1,"Rep3",1.808353984
16,"CLU_1",1,"Rep3",-2.553280364
17,"CLU_1",1,"Rep3",-3.13376512
18,"CLU_1",1,"Rep3",1.525850632
19,"CLU_1",1,"Rep3",-2.752486535
20,"CLU_1",1,"Rep3",-1.541429304
1,"CLU_1",1,"Rep4",-0.288030895
2,"CLU_1",1,"Rep4",-1.556756247
3,"CLU_1",1,"Rep4",-3.583933736
4,"CLU_1",1,"Rep4",-0.242502139
5,"CLU_1",1,"Rep4",6.633616233
6,"CLU_1",1,"Rep4",-1.739454879
7,"CLU_1",1,"Rep4",-2.41687032
8,"CLU_1",1,"Rep4",-1.261486416
9,"CLU_1",1,"Rep4",-0.42248209
10,"CLU_1",1,"Rep4",-2.610146843
11,"CLU_1",1,"Rep4",-3.569437171
12,"CLU_1",1,"Rep4",-2.472861617
13,"CLU_1",1,"Rep4",-1.103136807
14,"CLU_1",1,"Rep4",1.785132213
15,"CLU_1",1,"Rep4",3.64108413
16,"CLU_1",1,"Rep4",-1.520461842
17,"CLU_1",1,"Rep4",-4.051521286
18,"CLU_1",1,"Rep4",1.611391376
19,"CLU_1",1,"Rep4",-1.500506502
20,"CLU_1",1,"Rep4",-1.685056823
1,"CLU_1",1,"Rep5",-1.195837094
2,"CLU_1",1,"Rep5",-4.874029682
3,"CLU_1",1,"Rep5",-4.102989749
4,"CLU_1",1,"Rep5",1.438088455
5,"CLU_1",1,"Rep5",1.959099468
6,"CLU_1",1,"Rep5",-2.027868061
7,"CLU_1",1,"Rep5",-3.227053757
8,"CLU_1",1,"Rep5",1.039488344
9,"CLU_1",1,"Rep5",-1.759478734
10,"CLU_1",1,"Rep5",-1.981904333
11,"CLU_1",1,"Rep5",-5.915463455
12,"CLU_1",1,"Rep5",-1.625220943
13,"CLU_1",1,"Rep5",-5.551224385
14,"CLU_1",1,"Rep5",3.870054946
15,"CLU_1",1,"Rep5",4.425744379
16,"CLU_1",1,"Rep5",2.104873347
17,"CLU_1",1,"Rep5",-4.273248189
18,"CLU_1",1,"Rep5",2.009607285
19,"CLU_1",1,"Rep5",0.088650591
20,"CLU_1",1,"Rep5",-2.162039022
1,"CLU_1",1,"Rep6",2.09346572
2,"CLU_1",1,"Rep6",-3.107519524
3,"CLU_1",1,"Rep6",-4.087587493
4,"CLU_1",1,"Rep6",4.031531564
5,"CLU_1",1,"Rep6",9.751565775
6,"CLU_1",1,"Rep6",-1.507228369
7,"CLU_1",1,"Rep6",-2.97805203
8,"CLU_1",1,"Rep6",-0.426120829
9,"CLU_1",1,"Rep6",-0.737374233
10,"CLU_1",1,"Rep6",-1.852193313
11,"CLU_1",1,"Rep6",-4.419490786
12,"CLU_1",1,"Rep6",-2.446902183
13,"CLU_1",1,"Rep6",-10.35521045
14,"CLU_1",1,"Rep6",4.305253578
15,"CLU_1",1,"Rep6",2.527713437
16,"CLU_1",1,"Rep6",-0.421845363
17,"CLU_1",1,"Rep6",-0.649593088
18,"CLU_1",1,"Rep6",-0.525561495
19,"CLU_1",1,"Rep6",-1.250862375
20,"CLU_1",1,"Rep6",-1.275488629
1,"CLU_1",1,"Rep7",-4.666111627
2,"CLU_1",1,"Rep7",0.666635208
3,"CLU_1",1,"Rep7",-4.759867427
4,"CLU_1",1,"Rep7",-0.439792014
5,"CLU_1",1,"Rep7",-3.326587232
6,"CLU_1",1,"Rep7",-4.916355777
7,"CLU_1",1,"Rep7",-5.19127605
8,"CLU_1",1,"Rep7",-1.989544607
9,"CLU_1",1,"Rep7",-2.388345753
10,"CLU_1",1,"Rep7",-1.540009633
11,"CLU_1",1,"Rep7",-5.958853894
12,"CLU_1",1,"Rep7",-3.561904981
13,"CLU_1",1,"Rep7",-3.056668048
14,"CLU_1",1,"Rep7",7.607388913
15,"CLU_1",1,"Rep7",2.258419889
16,"CLU_1",1,"Rep7",-3.440285323
17,"CLU_1",1,"Rep7",-0.882800694
18,"CLU_1",1,"Rep7",0.837975706
19,"CLU_1",1,"Rep7",-0.768542198
20,"CLU_1",1,"Rep7",-1.613634153
1,"CLU_1",1,"Rep8",-7.31850967
2,"CLU_1",1,"Rep8",-2.889177264
3,"CLU_1",1,"Rep8",-5.35416631
4,"CLU_1",1,"Rep8",1.676383677
5,"CLU_1",1,"Rep8",7.44870804
6,"CLU_1",1,"Rep8",-5.120026963
7,"CLU_1",1,"Rep8",-3.14039943
8,"CLU_1",1,"Rep8",-1.796413502
9,"CLU_1",1,"Rep8",0.004802159
10,"CLU_1",1,"Rep8",-3.01426949
11,"CLU_1",1,"Rep8",-4.320640383
12,"CLU_1",1,"Rep8",-2.02608873
13,"CLU_1",1,"Rep8",-4.263653954
14,"CLU_1",1,"Rep8",8.035986546
15,"CLU_1",1,"Rep8",3.289626104
16,"CLU_1",1,"Rep8",0.301932167
17,"CLU_1",1,"Rep8",-1.720705307
18,"CLU_1",1,"Rep8",1.503043246
19,"CLU_1",1,"Rep8",-1.92994114
20,"CLU_1",1,"Rep8",-2.70130218
1,"CLU_1",1,"Rep9",-6.371828476
2,"CLU_1",1,"Rep9",-5.039143053
3,"CLU_1",1,"Rep9",-4.30818202
4,"CLU_1",1,"Rep9",-1.422421317
5,"CLU_1",1,"Rep9",5.797576268
6,"CLU_1",1,"Rep9",-3.865220626
7,"CLU_1",1,"Rep9",-4.015314685
8,"CLU_1",1,"Rep9",-2.776780079
9,"CLU_1",1,"Rep9",-2.09465865
10,"CLU_1",1,"Rep9",-2.273732837
11,"CLU_1",1,"Rep9",-4.50806713
12,"CLU_1",1,"Rep9",-3.100248018
13,"CLU_1",1,"Rep9",-3.727430269
14,"CLU_1",1,"Rep9",-1.684890488
15,"CLU_1",1,"Rep9",2.321829431
16,"CLU_1",1,"Rep9",-1.291216028
17,"CLU_1",1,"Rep9",-2.865508702
18,"CLU_1",1,"Rep9",0.929622775
19,"CLU_1",1,"Rep9",-4.747556647
20,"CLU_1",1,"Rep9",-2.180566874
1,"CLU_1",2,"Rep1",0
2,"CLU_1",2,"Rep1",0
3,"CLU_1",2,"Rep1",0
4,"CLU_1",2,"Rep1",0
5,"CLU_1",2,"Rep1",0
6,"CLU_1",2,"Rep1",0
7,"CLU_1",2,"Rep1",0
8,"CLU_1",2,"Rep1",0
9,"CLU_1",2,"Rep1",0
10,"CLU_1",2,"Rep1",0
11,"CLU_1",2,"Rep1",0
12,"CLU_1",2,"Rep1",0
13,"CLU_1",2,"Rep1",0
14,"CLU_1",2,"Rep1",0
15,"CLU_1",2,"Rep1",0
16,"CLU_1",2,"Rep1",0
17,"CLU_1",2,"Rep1",0
